tail,date,flight,callsign,origin,dest,triangle_sector,verified_track,app_status
5X-EQU,2026-09-06,UR334,UGD334,EBB,ZNZ,,Y,green
5X-EQU,2026-09-07,UR720,UGD720,LUN,HRE,Y,Y,green
5X-EQU,2026-09-07,UR720,UGD720,EBB,LUN,,Y,green
5X-EQU,2026-09-07,UR711,UGD711,JNB,EBB,,Y,green
5X-EQU,2026-09-07,UR710,UGD710,EBB,JNB,,Y,green
5X-EQU,2026-09-07,UR720,UGD720,HRE,EBB,,Y,green
5X-EQU,2026-09-08,UR207,UGD207,NBO,EBB,,Y,green
5X-EQU,2026-09-08,UR206,UGD206,EBB,NBO,,Y,green
5X-EQU,2026-09-08,UR206,UGD206,EBB,NBO,,Y,green
5X-EQU,2026-09-08,UR321,UGD321,DAR,EBB,,Y,green
5X-EQU,2026-09-08,UR320,UGD320,EBB,DAR,,Y,green
5X-EQU,2026-09-08,UR720,UGD720,HRE,EBB,,Y,green
5X-EQU,2026-09-09,UR343,UGD343,MBA,EBB,,Y,green
5X-EQU,2026-09-09,UR342,UGD342,EBB,MBA,,Y,green
5X-EQU,2026-09-09,UR334,UGD334,JRO,EBB,,Y,green
5X-EQU,2026-09-09,UR334,UGD334,ZNZ,JRO,Y,Y,green
5X-EQU,2026-09-09,UR334,UGD334,EBB,ZNZ,,Y,green
5X-EQU,2026-09-09,UR123,UGD123,JUB,EBB,,Y,green
5X-EQU,2026-09-09,UR122,UGD122,EBB,JUB,,Y,green
5X-EQU,2026-09-10,UR322,UGD322,EBB,DAR,,Y,green
5X-EQU,2026-09-10,UR201,UGD201,NBO,EBB,,Y,green
5X-EQU,2026-09-10,UR200,UGD200,EBB,NBO,,Y,green
5X-EQU,2026-09-11,UR521,UGD521,MGQ,EBB,,Y,green
5X-EQU,2026-09-11,UR520,UGD520,EBB,MGQ,,Y,green
5X-EQU,2026-09-11,UR323,UGD323,DAR,EBB,,Y,green
5X-EQU,2026-09-11,UR343,UGD343,MBA,EBB,,Y,green
5X-EQU,2026-09-11,UR342,UGD342,EBB,MBA,,Y,green
5X-EQU,2026-09-11,UR121,UGD121,JUB,EBB,,Y,green
5X-EQU,2026-09-11,UR120,UGD120,EBB,JUB,,Y,green
5X-EQU,2026-09-12,UR521,UGD521,MGQ,EBB,,,green
5X-EQU,2026-09-12,UR520,UGD520,EBB,MGQ,,,green
5X-KDP,2026-08-31,UR323,UGD323,DAR,EBB,,Y,green
5X-KDP,2026-08-31,UR322,UGD322,EBB,DAR,,Y,green
5X-KDP,2026-08-31,UR361,UGD361,BJM,EBB,,,green
5X-KDP,2026-08-31,UR360,UGD360,EBB,BJM,,,green
5X-KDP,2026-08-31,UR720,UGD720,HRE,EBB,,,green
5X-KDP,2026-09-01,UR722,UGD722,LUN,EBB,,Y,red
5X-KDP,2026-09-01,UR722,UGD722,HRE,LUN,Y,,red
5X-KDP,2026-09-01,UR722,UGD722,EBB,HRE,,Y,amber
5X-KDP,2026-09-01,UR521,UGD521,MGQ,EBB,,Y,green
5X-KDP,2026-09-01,UR520,UGD520,EBB,MGQ,,Y,green
5X-KDP,2026-09-02,UR208,UGD208,EBB,NBO,,Y,green
5X-KDP,2026-09-02,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-02,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-02,UR121,UGD121,JUB,EBB,,Y,grey
5X-KDP,2026-09-02,UR120,UGD120,EBB,JUB,,Y,grey
5X-KDP,2026-09-02,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-02,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-03,UR208,UGD208,EBB,NBO,,Y,green
5X-KDP,2026-09-03,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-03,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-03,UR209,UGD209,NBO,EBB,,Y,green
5X-KDP,2026-09-04,UR322,UGD322,EBB,DAR,,Y,green
5X-KDP,2026-09-04,UR207,UGD207,NBO,EBB,,Y,green
5X-KDP,2026-09-04,UR206,UGD206,EBB,NBO,,Y,green
5X-KDP,2026-09-04,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-04,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-04,UR209,UGD209,NBO,EBB,,Y,green
5X-KDP,2026-09-05,UR208,UGD208,EBB,NBO,,Y,green
5X-KDP,2026-09-05,UR521,UGD521,MGQ,EBB,,Y,green
5X-KDP,2026-09-05,UR520,UGD520,EBB,MGQ,,Y,green
5X-KDP,2026-09-05,UR323,UGD323,DAR,EBB,,Y,green
5X-KDP,2026-09-06,UR343,UGD343,MBA,EBB,,Y,green
5X-KDP,2026-09-06,UR342,UGD342,EBB,MBA,,Y,green
5X-KDP,2026-09-06,UR121,UGD121,JUB,EBB,,Y,green
5X-KDP,2026-09-06,UR120,UGD120,EBB,JUB,,Y,green
5X-KDP,2026-09-06,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-06,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-06,UR209,UGD209,NBO,EBB,,Y,green
5X-KDP,2026-09-07,UR323,UGD323,DAR,EBB,,Y,green
5X-KDP,2026-09-07,UR322,UGD322,EBB,DAR,,Y,green
5X-KDP,2026-09-07,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-07,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-07,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-07,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-07,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-08,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-08,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-08,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-08,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-09,UR208,UGD208,EBB,NBO,,Y,green
5X-KDP,2026-09-09,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-09,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-09,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-09,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-10,UR208,UGD208,EBB,NBO,,Y,green
5X-KDP,2026-09-10,UR361,UGD361,BJM,EBB,,Y,green
5X-KDP,2026-09-10,UR360,UGD360,EBB,BJM,,Y,green
5X-KDP,2026-09-10,UR209,UGD209,NBO,EBB,,Y,green
5X-KDP,2026-09-11,UR201,UGD201,NBO,EBB,,Y,green
5X-KDP,2026-09-11,UR200,UGD200,EBB,NBO,,Y,green
5X-KDP,2026-09-11,UR209,UGD209,NBO,EBB,,Y,green
5X-KDP,2026-09-11,UR322,UGD322,EBB,DAR,,Y,green
5X-KDP,2026-09-11,UR207,UGD207,NBO,EBB,,Y,green
5X-KDP,2026-09-11,UR206,UGD206,EBB,NBO,,Y,green
5X-KDP,2026-09-12,UR323,UGD323,DAR,EBB,,,green
5X-KOB,2026-08-31,UR712,UGD712,,,,,
5X-KOB,2026-09-01,UR361,UGD361,BJM,EBB,,Y,green
5X-KOB,2026-09-01,UR360,UGD360,EBB,BJM,,Y,green
5X-KOB,2026-09-01,UR321,UGD321,DAR,EBB,,Y,green
5X-KOB,2026-09-01,UR320,UGD320,EBB,DAR,,Y,green
5X-KOB,2026-09-01,UR713,UGD713,JNB,EBB,,Y,green
5X-KOB,2026-09-02,UR343,UGD343,MBA,EBB,,Y,green
5X-KOB,2026-09-02,UR342,UGD342,EBB,MBA,,Y,green
5X-KOB,2026-09-02,UR334,UGD334,JRO,EBB,,Y,green
5X-KOB,2026-09-02,UR334,UGD334,ZNZ,JRO,Y,,green
5X-KOB,2026-09-02,UR334,UGD334,EBB,ZNZ,,Y,green
5X-KOB,2026-09-02,UR123,UGD123,JUB,EBB,,Y,green
5X-KOB,2026-09-02,UR122,UGD122,EBB,JUB,,Y,green
5X-KOB,2026-09-04,UR720,UGD720,LUN,HRE,Y,,green
5X-KOB,2026-09-04,UR720,UGD720,EBB,LUN,,Y,green
5X-KOB,2026-09-04,UR361,UGD361,BJM,EBB,,Y,green
5X-KOB,2026-09-04,UR360,UGD360,EBB,BJM,,Y,green
5X-KOB,2026-09-04,UR334,UGD334,JRO,EBB,,Y,green
5X-KOB,2026-09-04,UR334,UGD334,ZNZ,JRO,Y,,green
5X-KOB,2026-09-04,UR334,UGD334,EBB,ZNZ,,Y,green
5X-KOB,2026-09-05,UR322,UGD322,EBB,DAR,,Y,green
5X-KOB,2026-09-05,UR121,UGD121,JUB,EBB,,Y,green
5X-KOB,2026-09-05,UR120,UGD120,EBB,JUB,,Y,green
5X-KOB,2026-09-05,UR201,UGD201,NBO,EBB,,Y,green
5X-KOB,2026-09-05,UR200,UGD200,EBB,NBO,,Y,green
5X-KOB,2026-09-05,UR720,UGD720,HRE,EBB,,Y,green
5X-KOB,2026-09-06,UR208,UGD208,EBB,NBO,,Y,green
5X-KOB,2026-09-06,UR207,UGD207,NBO,EBB,,Y,green
5X-KOB,2026-09-06,UR206,UGD206,EBB,NBO,,Y,green
5X-KOB,2026-09-06,UR321,UGD321,DAR,EBB,,Y,green
5X-KOB,2026-09-06,UR320,UGD320,EBB,DAR,,Y,green
5X-KOB,2026-09-06,UR521,UGD521,MGQ,EBB,,Y,green
5X-KOB,2026-09-06,UR520,UGD520,EBB,MGQ,,Y,green
5X-KOB,2026-09-06,UR323,UGD323,DAR,EBB,,Y,green
5X-KOB,2026-09-07,UR208,UGD208,EBB,NBO,,Y,green
5X-KOB,2026-09-07,UR207,UGD207,NBO,EBB,,Y,green
5X-KOB,2026-09-07,UR206,UGD206,EBB,NBO,,Y,green
5X-KOB,2026-09-07,UR321,UGD321,DAR,EBB,,Y,green
5X-KOB,2026-09-07,UR320,UGD320,EBB,DAR,,Y,green
5X-KOB,2026-09-07,UR123,UGD123,JUB,EBB,,Y,green
5X-KOB,2026-09-07,UR122,UGD122,EBB,JUB,,Y,green
5X-KOB,2026-09-07,UR209,UGD209,NBO,EBB,,Y,green
5X-KOB,2026-09-08,UR121,UGD121,JUB,EBB,,Y,green
5X-KOB,2026-09-08,UR120,UGD120,EBB,JUB,,Y,green
5X-KOB,2026-09-08,UR521,UGD521,MGQ,EBB,,Y,green
5X-KOB,2026-09-08,UR520,UGD520,EBB,MGQ,,Y,green
5X-KOB,2026-09-08,UR209,UGD209,NBO,EBB,,Y,green
5X-KOB,2026-09-09,UR322,UGD322,EBB,DAR,,Y,green
5X-KOB,2026-09-09,UR722,UGD722,LUN,EBB,,Y,green
5X-KOB,2026-09-09,UR722,UGD722,HRE,LUN,Y,,green
5X-KOB,2026-09-09,UR722,UGD722,EBB,HRE,,Y,green
5X-KOB,2026-09-10,UR121,UGD121,JUB,EBB,,Y,green
5X-KOB,2026-09-10,UR120,UGD120,EBB,JUB,,Y,green
5X-KOB,2026-09-10,UR323,UGD323,DAR,EBB,,Y,green
5X-KOB,2026-09-11,UR334,UGD334,ZNZ,JRO,Y,Y,green
5X-KOB,2026-09-11,UR334,UGD334,EBB,ZNZ,,Y,green
5X-KOB,2026-09-11,UR720,UGD720,LUN,HRE,Y,Y,green
5X-KOB,2026-09-11,UR720,UGD720,EBB,LUN,,Y,green
5X-KOB,2026-09-11,UR361,UGD361,BJM,EBB,,Y,green
5X-KOB,2026-09-11,UR360,UGD360,EBB,BJM,,Y,green
5X-KOB,2026-09-11,UR334,UGD334,JRO,EBB,,Y,green
5X-KOB,2026-09-12,UR200,UGD200,EBB,NBO,,,green
5X-KOB,2026-09-12,UR720,UGD720,HRE,EBB,,,green
5X-NIL,2026-09-01,UR111,UGD111,LGW,EBB,,Y,green
5X-NIL,2026-09-01,UR110,UGD110,EBB,LGW,,Y,green
5X-NIL,2026-09-02,UR430,UGD430,EBB,BOM,,Y,amber
5X-NIL,2026-09-03,UR431,UGD431,BOM,EBB,,Y,green
5X-NIL,2026-09-04,UR111,UGD111,LGW,EBB,,Y,amber
5X-NIL,2026-09-04,UR110,UGD110,EBB,LGW,,Y,amber
5X-NIL,2026-09-05,UR430,UGD430,EBB,BOM,,Y,green
5X-NIL,2026-09-06,UR111,UGD111,LGW,EBB,,Y,amber
5X-NIL,2026-09-06,UR110,UGD110,EBB,LGW,,Y,amber
5X-NIL,2026-09-06,UR431,UGD431,BOM,EBB,,Y,green
5X-NIL,2026-09-08,UR111,UGD111,LGW,EBB,,Y,red
5X-NIL,2026-09-08,UR110,UGD110,EBB,LGW,,Y,green
5X-NIL,2026-09-09,UR430,UGD430,EBB,BOM,,Y,grey
5X-NIL,2026-09-09,UR430,UGD430,EBB,BOM,,Y,grey
5X-NIL,2026-09-10,UR431,UGD431,BOM,EBB,,Y,green
5X-NIL,2026-09-11,UR110,UGD110,EBB,LGW,,Y,amber
5X-NIL,2026-09-11,UR111,UGD111,LGW,EBB,,,amber
ET-APL,2026-08-31,UR208,UGD208,EBB,NBO,,,red
ET-APL,2026-09-01,UR712,UGD712,EBB,JNB,,Y,green
ET-APL,2026-09-01,UR207,UGD207,NBO,EBB,,Y,red
ET-APL,2026-09-01,UR206,UGD206,EBB,NBO,,Y,green
ET-APL,2026-09-01,UR207,UGD207,NBO,EBB,,Y,red
ET-APL,2026-09-02,UR711,UGD711,JNB,EBB,,Y,amber
ET-APL,2026-09-02,UR710,UGD710,EBB,JNB,,Y,green
ET-APL,2026-09-02,UR713,UGD713,JNB,EBB,,Y,green
ET-APL,2026-09-03,UR902,UGD902,EBB,LOS,,,red
ET-APL,2026-09-03,UR722,UGD722,LUN,EBB,,Y,red
ET-APL,2026-09-03,UR722,UGD722,HRE,LUN,Y,,red
ET-APL,2026-09-03,UR722,UGD722,EBB,HRE,,Y,amber
ET-APL,2026-09-04,UR902,UGD902,EBB,LOS,,Y,red
ET-APL,2026-09-04,UR711,UGD711,JNB,EBB,,Y,red
ET-APL,2026-09-04,UR710,UGD710,EBB,JNB,,Y,red
ET-APL,2026-09-04,UR903,UGD903,LOS,EBB,,Y,red
ET-APL,2026-09-05,UR720,UGD720,LUN,HRE,Y,Y,green
ET-APL,2026-09-05,UR720,UGD720,EBB,LUN,,Y,amber
ET-APL,2026-09-05,UR711,UGD711,JNB,EBB,,Y,red
ET-APL,2026-09-05,UR710,UGD710,EBB,JNB,,Y,red
ET-APL,2026-09-05,UR903,UGD903,LOS,EBB,,Y,red
ET-APL,2026-09-06,UR712,UGD712,EBB,JNB,,Y,green
ET-APL,2026-09-06,UR901,UGD901,LOS,EBB,,Y,red
ET-APL,2026-09-06,UR900,UGD900,EBB,LOS,,Y,amber
ET-APL,2026-09-06,UR720,UGD720,HRE,EBB,,Y,green
ET-APL,2026-09-07,UR712,UGD712,EBB,JNB,,Y,green
ET-APL,2026-09-07,UR901,UGD901,LOS,EBB,,Y,green
ET-APL,2026-09-07,UR900,UGD900,EBB,LOS,,Y,green
ET-APL,2026-09-07,UR713,UGD713,JNB,EBB,,Y,green
ET-APL,2026-09-08,UR712,UGD712,EBB,JNB,,Y,green
ET-APL,2026-09-08,UR722,UGD722,LUN,EBB,,Y,green
ET-APL,2026-09-08,UR722,UGD722,HRE,LUN,Y,Y,amber
ET-APL,2026-09-08,UR722,UGD722,EBB,HRE,,Y,green
ET-APL,2026-09-08,UR713,UGD713,JNB,EBB,,Y,green
ET-APL,2026-09-09,UR711,UGD711,JNB,EBB,,Y,green
ET-APL,2026-09-09,UR710,UGD710,EBB,JNB,,Y,green
ET-APL,2026-09-09,UR713,UGD713,JNB,EBB,,Y,green
ET-APL,2026-09-10,UR902,UGD902,EBB,LOS,,Y,amber
ET-APL,2026-09-10,UR722,UGD722,LUN,EBB,,Y,green
ET-APL,2026-09-10,UR722,UGD722,HRE,LUN,Y,Y,amber
ET-APL,2026-09-10,UR722,UGD722,EBB,HRE,,Y,green
ET-APL,2026-09-11,UR711,UGD711,JNB,EBB,,Y,green
ET-APL,2026-09-11,UR710,UGD710,EBB,JNB,,Y,green
ET-APL,2026-09-11,UR903,UGD903,LOS,EBB,,Y,green
ET-APL,2026-09-11,UR902,UGD902,EBB,LOS,,Y,green
ET-APL,2026-09-12,UR710,UGD710,EBB,JNB,,,green
ET-APL,2026-09-12,UR903,UGD903,LOS,EBB,,,green
