date_local,flight,origin,takeoff_local,departure_utc,arrival_local,arrival_utc,dest,next_day,takeoff_not_observed,landing_not_observed,air_minutes,fixes,source_file
05SEP26,UGD711,JNB,1540,2026-09-05 13:40:44Z,2029,2026-09-05 17:29:18Z,EBB,,,,229,657,UR711-41850d68.csv
05SEP26,UGD722,LUN,1741,2026-09-05 15:41:39Z,2103,2026-09-05 18:03:05Z,EBB,,,,141,327,UR722-41858892.csv
05SEP26,UGD720,EBB,2141,2026-09-05 18:41:15Z,2301,2026-09-05 21:01:05Z,LUN,,,,140,454,UR720-41861399.csv
05SEP26,UGD208,EBB,2210,2026-09-05 19:10:08Z,2258,2026-09-05 19:58:42Z,NBO,,,,49,203,UR208-41862a43.csv
05SEP26,UGD322,EBB,2221,2026-09-05 19:21:58Z,2352,2026-09-05 20:52:30Z,DAR,,,Y,91,308,UR322-41863182.csv
06SEP26,UGD209,NBO,0030,2026-09-05 21:30:31Z,0120,2026-09-05 22:20:04Z,EBB,,,,50,237,UR209-41868450.csv
06SEP26,UGD323,DAR,0054,2026-09-05 21:54:59Z,0229,2026-09-05 23:29:30Z,EBB,,,,95,470,UR323-4186910e.csv
06SEP26,UGD720,HRE,0126,2026-09-05 23:26:27Z,0503,2026-09-06 02:03:29Z,EBB,,,,157,331,UR720-4186bf6c.csv
06SEP26,UGD431,BOM,0132,2026-09-05 20:02:41Z,0450,2026-09-06 01:50:41Z,EBB,,,,348,401,UR431-41864480.csv
06SEP26,UGD520,EBB,0507,2026-09-06 02:07:19Z,0704,2026-09-06 04:04:03Z,MGQ,,,Y,117,242,UR520-41871519.csv
06SEP26,UGD200,EBB,0753,2026-09-06 04:53:15Z,0843,2026-09-06 05:43:52Z,NBO,,,,51,228,UR200-41876032.csv
06SEP26,UGD334,EBB,0918,2026-09-06 06:18:58Z,1047,2026-09-06 07:47:43Z,ZNZ,,,,89,337,UR334-418787fa.csv
06SEP26,UGD521,MGQ,0928,2026-09-06 06:28:25Z,1101,2026-09-06 08:01:42Z,EBB,,Y,,93,235,UR521-41877c32.csv
06SEP26,UGD201,NBO,0958,2026-09-06 06:58:51Z,1048,2026-09-06 07:48:30Z,EBB,,,,50,256,UR201-41879c5d.csv
06SEP26,UGD900,EBB,1037,2026-09-06 07:37:24Z,1245,2026-09-06 11:45:04Z,LOS,,,,248,662,UR900-4187ab98.csv
06SEP26,UGD110,EBB,1106,2026-09-06 08:06:31Z,1712,2026-09-06 16:12:07Z,LGW,,,,486,1122,UR110-4187ba0c.csv
06SEP26,UGD320,EBB,1201,2026-09-06 09:01:44Z,1334,2026-09-06 10:34:08Z,DAR,,,Y,92,358,UR320-4187e58c.csv
06SEP26,UGD334,JRO,1340,2026-09-06 10:40:04Z,1440,2026-09-06 11:40:05Z,EBB,,,,60,266,UR334-418827d6.csv
06SEP26,UGD120,EBB,1414,2026-09-06 11:14:54Z,1409,2026-09-06 12:09:51Z,JUB,,,,55,289,UR120-41883fc1.csv
06SEP26,UGD901,LOS,1425,2026-09-06 13:25:56Z,2048,2026-09-06 17:48:19Z,EBB,,,,262,787,UR901-41889775.csv
06SEP26,UGD321,DAR,1449,2026-09-06 11:49:14Z,1618,2026-09-06 13:18:50Z,EBB,,,,90,304,UR321-418856b0.csv
06SEP26,UGD121,JUB,1523,2026-09-06 13:23:50Z,1714,2026-09-06 14:14:56Z,EBB,,,,51,303,UR121-4188a506.csv
06SEP26,UGD360,EBB,1627,2026-09-06 13:27:11Z,1614,2026-09-06 14:14:42Z,BJM,,,,48,249,UR360-4188a946.csv
06SEP26,UGD361,BJM,1730,2026-09-06 15:30:16Z,1922,2026-09-06 16:22:27Z,EBB,,,,52,297,UR361-41891720.csv
06SEP26,UGD206,EBB,1740,2026-09-06 14:40:44Z,1831,2026-09-06 15:31:27Z,NBO,,,,51,296,UR206-4188ec01.csv
06SEP26,UGD342,EBB,1845,2026-09-06 15:45:38Z,2009,2026-09-06 17:09:33Z,MBA,,,,84,352,UR342-418926f5.csv
06SEP26,UGD207,NBO,1953,2026-09-06 16:53:08Z,2044,2026-09-06 17:44:30Z,EBB,,,,51,273,UR207-41896043.csv
06SEP26,UGD111,LGW,2005,2026-09-06 19:05:36Z,0626,2026-09-07 03:26:37Z,EBB,Y,,,501,665,UR111-4189ad1c.csv
06SEP26,UGD343,MBA,2127,2026-09-06 18:27:34Z,2243,2026-09-06 19:43:47Z,EBB,,,,76,311,UR343-4189a5fc.csv
06SEP26,UGD720,EBB,2132,2026-09-06 18:32:40Z,2251,2026-09-06 20:51:56Z,LUN,,,,139,309,UR720-4189a8d4.csv
06SEP26,UGD208,EBB,2222,2026-09-06 19:22:06Z,2312,2026-09-06 20:12:41Z,NBO,,,,51,220,UR208-4189c9e6.csv
06SEP26,UGD712,EBB,2246,2026-09-06 19:46:58Z,0139,2026-09-06 23:39:35Z,JNB,Y,,,233,687,UR712-4189d4c5.csv
07SEP26,UGD209,NBO,0024,2026-09-06 21:24:56Z,0114,2026-09-06 22:14:47Z,EBB,,,,50,232,UR209-418a175e.csv
07SEP26,UGD720,HRE,0131,2026-09-06 23:31:48Z,0513,2026-09-07 02:13:26Z,EBB,,,,162,355,UR720-418a6176.csv
07SEP26,UGD713,JNB,0311,2026-09-07 01:11:35Z,0812,2026-09-07 05:12:06Z,EBB,,,,241,675,UR713-418a91c6.csv
07SEP26,UGD122,EBB,0705,2026-09-07 04:05:08Z,0657,2026-09-07 04:57:18Z,JUB,,,,52,267,UR122-418ae9b7.csv
07SEP26,UGD200,EBB,0800,2026-09-07 05:00:00Z,0849,2026-09-07 05:49:28Z,NBO,,,,49,243,UR200-418b059c.csv
07SEP26,UGD123,JUB,0823,2026-09-07 06:23:52Z,1014,2026-09-07 07:14:11Z,EBB,,,,50,212,UR123-418b318e.csv
07SEP26,UGD710,EBB,0942,2026-09-07 06:42:04Z,1229,2026-09-07 10:29:55Z,JNB,,,,228,614,UR710-418b3b93.csv
07SEP26,UGD201,NBO,1007,2026-09-07 07:07:46Z,1057,2026-09-07 07:57:52Z,EBB,,,,50,283,UR201-418b4b5b.csv
07SEP26,UGD900,EBB,1022,2026-09-07 07:22:53Z,1220,2026-09-07 11:20:18Z,LOS,,,,237,684,UR900-418b4fe7.csv
07SEP26,UGD320,EBB,1138,2026-09-07 08:38:11Z,1313,2026-09-07 10:13:29Z,DAR,,,Y,95,377,UR320-418b7e9a.csv
07SEP26,UGD901,LOS,1359,2026-09-07 12:59:43Z,2012,2026-09-07 17:12:35Z,EBB,,,,253,753,UR901-418c2cc8.csv
07SEP26,UGD711,JNB,1404,2026-09-07 12:04:13Z,1850,2026-09-07 15:50:30Z,EBB,,,,226,482,UR711-418c0303.csv
07SEP26,UGD321,DAR,1418,2026-09-07 11:18:33Z,1546,2026-09-07 12:46:09Z,EBB,,,,88,313,UR321-418be466.csv
07SEP26,UGD360,EBB,1633,2026-09-07 13:33:44Z,1622,2026-09-07 14:22:41Z,BJM,,,,49,356,UR360-418c539f.csv
07SEP26,UGD361,BJM,1713,2026-09-07 15:13:01Z,1906,2026-09-07 16:06:27Z,EBB,,,,53,300,UR361-418cb5d4.csv
07SEP26,UGD206,EBB,1738,2026-09-07 14:38:37Z,1834,2026-09-07 15:34:01Z,NBO,,,,55,354,UR206-418c9428.csv
07SEP26,UGD207,NBO,2007,2026-09-07 17:07:34Z,2059,2026-09-07 17:59:58Z,EBB,,,,52,271,UR207-418d1ff2.csv
07SEP26,UGD720,EBB,2113,2026-09-07 18:13:45Z,2241,2026-09-07 20:41:27Z,LUN,,,,148,325,UR720-418d561a.csv
07SEP26,UGD322,EBB,2116,2026-09-07 18:16:32Z,2249,2026-09-07 19:49:14Z,DAR,,,Y,93,299,UR322-418d59e8.csv
07SEP26,UGD208,EBB,2213,2026-09-07 19:13:24Z,2303,2026-09-07 20:03:28Z,NBO,,,,50,255,UR208-418d864b.csv
07SEP26,UGD712,EBB,2234,2026-09-07 19:34:27Z,0137,2026-09-07 23:37:49Z,JNB,Y,,,243,603,UR712-418d9079.csv
07SEP26,UGD323,DAR,2348,2026-09-07 20:48:24Z,0116,2026-09-07 22:16:19Z,EBB,Y,,,88,344,UR323-418dcd51.csv
08SEP26,UGD209,NBO,0022,2026-09-07 21:22:33Z,0113,2026-09-07 22:13:08Z,EBB,,,,51,258,UR209-418de625.csv
08SEP26,UGD720,HRE,0142,2026-09-07 23:42:08Z,0518,2026-09-08 02:18:14Z,EBB,,,,156,374,UR720-418e4460.csv
08SEP26,UGD713,JNB,0300,2026-09-08 01:00:39Z,0747,2026-09-08 04:47:06Z,EBB,,,,226,615,UR713-418e69f9.csv
08SEP26,UGD520,EBB,0453,2026-09-08 01:53:58Z,0657,2026-09-08 03:57:30Z,MGQ,,,,124,388,UR520-418e9139.csv
08SEP26,UGD200,EBB,0809,2026-09-08 05:09:11Z,0901,2026-09-08 06:01:18Z,NBO,,,,52,255,UR200-418ef7ea.csv
08SEP26,UGD521,MGQ,0843,2026-09-08 05:43:17Z,1039,2026-09-08 07:39:24Z,EBB,,,,116,397,UR521-418f0818.csv
08SEP26,UGD201,NBO,1003,2026-09-08 07:03:53Z,1053,2026-09-08 07:53:44Z,EBB,,,,50,267,UR201-418f35c8.csv
08SEP26,UGD110,EBB,1104,2026-09-08 08:04:00Z,1706,2026-09-08 16:06:09Z,LGW,,,,482,934,UR110-418f4fdd.csv
08SEP26,UGD320,EBB,1136,2026-09-08 08:36:31Z,1308,2026-09-08 10:08:06Z,DAR,,,Y,92,296,UR320-418f6b4e.csv
08SEP26,UGD722,EBB,1328,2026-09-08 10:28:03Z,1514,2026-09-08 13:14:10Z,HRE,,,,166,380,UR722-418fa50a.csv
08SEP26,UGD120,EBB,1353,2026-09-08 10:53:06Z,1347,2026-09-08 11:47:21Z,JUB,,,,54,290,UR120-418fbf90.csv
08SEP26,UGD321,DAR,1416,2026-09-08 11:16:36Z,1544,2026-09-08 12:44:28Z,EBB,,,,88,312,UR321-418fd0ec.csv
08SEP26,UGD121,JUB,1503,2026-09-08 13:03:29Z,1653,2026-09-08 13:53:55Z,EBB,,,,50,228,UR121-41902eb3.csv
08SEP26,UGD360,EBB,1621,2026-09-08 13:21:57Z,1609,2026-09-08 14:09:11Z,BJM,,,,47,310,UR360-41903f50.csv
08SEP26,UGD361,BJM,1715,2026-09-08 15:15:10Z,1908,2026-09-08 16:08:40Z,EBB,,,,54,286,UR361-4190ae3a.csv
08SEP26,UGD206,EBB,1733,2026-09-08 14:33:38Z,1828,2026-09-08 15:28:57Z,NBO,,,,55,352,UR206-419089a6.csv
08SEP26,UGD722,LUN,1812,2026-09-08 16:12:41Z,2136,2026-09-08 18:36:37Z,EBB,,,,144,559,UR722-4190df8c.csv
08SEP26,UGD207,NBO,1943,2026-09-08 16:43:23Z,2034,2026-09-08 17:34:06Z,EBB,,,,51,273,UR207-419103e8.csv
08SEP26,UGD111,LGW,2157,2026-09-08 20:57:41Z,0808,2026-09-09 05:08:37Z,EBB,Y,,,491,697,UR111-4191c96b.csv
08SEP26,UGD712,EBB,2257,2026-09-08 19:57:24Z,0205,2026-09-09 00:05:59Z,JNB,Y,,,249,670,UR712-41919bf4.csv
09SEP26,UGD713,JNB,0321,2026-09-09 01:21:46Z,0813,2026-09-09 05:13:04Z,EBB,,,,231,688,UR713-419282d5.csv
09SEP26,UGD122,EBB,0659,2026-09-09 03:59:22Z,0650,2026-09-09 04:50:24Z,JUB,,,,51,267,UR122-4192dcb1.csv
09SEP26,UGD200,EBB,0756,2026-09-09 04:56:08Z,0846,2026-09-09 05:46:51Z,NBO,,,,51,205,UR200-4192fdbd.csv
09SEP26,UGD123,JUB,0758,2026-09-09 05:58:07Z,0949,2026-09-09 06:49:00Z,EBB,,,,51,215,UR123-41931d98.csv
09SEP26,UGD710,EBB,0929,2026-09-09 06:29:52Z,1231,2026-09-09 10:31:11Z,JNB,,,,241,661,UR710-41932b0c.csv
09SEP26,UGD201,NBO,0956,2026-09-09 06:56:55Z,1046,2026-09-09 07:46:45Z,EBB,,,,50,270,UR201-41933e05.csv
09SEP26,UGD722,EBB,1200,2026-09-09 09:00:15Z,1345,2026-09-09 11:45:27Z,HRE,,,,165,300,UR722-4193829f.csv
09SEP26,UGD334,EBB,1218,2026-09-09 09:18:42Z,1346,2026-09-09 10:46:55Z,ZNZ,,,,88,335,UR334-419390cb.csv
09SEP26,UGD360,EBB,1639,2026-09-09 13:39:46Z,1629,2026-09-09 14:29:00Z,BJM,,,,49,381,UR360-419461c3.csv
09SEP26,UGD342,EBB,1939,2026-09-09 16:39:53Z,2101,2026-09-09 18:01:53Z,MBA,,,,82,345,UR342-419512c9.csv
09SEP26,UGD430,EBB,2116,2026-09-09 18:16:40Z,0559,2026-09-10 00:29:41Z,BOM,Y,,,373,620,UR430-41956039.csv
09SEP26,UGD322,EBB,2204,2026-09-09 19:04:33Z,2334,2026-09-09 20:34:38Z,DAR,,,Y,90,319,UR322-419590c7.csv
09SEP26,UGD208,EBB,2210,2026-09-09 19:10:51Z,2259,2026-09-09 19:59:48Z,NBO,,,,49,215,UR208-419596f7.csv
